Ticker,Model,TrainEnd,TestStart,TestObservations,MAE,RMSE,RMSEImprovementPercent
QQQ,Past volatility only,2021-12-31,2022-01-01,748,0.05917305828483675,0.07898236004349457,
QQQ,Past volatility + CUSUM,2021-12-31,2022-01-01,748,0.06652438477674845,0.09236086006302756,-16.938592379571364
SPY,Past volatility only,2021-12-31,2022-01-01,748,0.046293523452059095,0.06240925453895174,
SPY,Past volatility + CUSUM,2021-12-31,2022-01-01,748,0.05267894362673027,0.07369340245225027,-18.08088879872088
TLT,Past volatility only,2021-12-31,2022-01-01,748,0.046655630913074335,0.06169121722509905,
TLT,Past volatility + CUSUM,2021-12-31,2022-01-01,748,0.05381552030577928,0.07123452702748215,-15.469478852332331
