BaselineMethod,Threshold,ContaminatedPoints,MeanBaselineCenter,MeanBaselineScale,FalseAlarmRate,DetectionRate,MissRate,MedianDetectionDelay,Simulations
mean_std,12.0,0,0.00799347816874373,0.006006583823887443,0.022,0.978,0.0,12.0,500
mean_std,12.0,1,0.00891694808302121,0.01098257999455072,0.0,1.0,0.0,55.0,500
mean_std,12.0,5,0.012592903214645644,0.02099384902050578,0.0,0.0,1.0,,500
mean_std,12.0,10,0.01719203934161947,0.028325992781402274,0.0,0.0,1.0,,500
median_mad,40.0,0,0.006760439520907101,0.005847381421026261,0.034,0.966,0.0,36.0,500
median_mad,40.0,1,0.006842491638993286,0.005937391788670111,0.028,0.972,0.0,36.0,500
median_mad,40.0,5,0.007186586670065825,0.006359839689500236,0.008,0.992,0.0,43.0,500
median_mad,40.0,10,0.007673182431118739,0.006949230157225107,0.0,1.0,0.0,55.0,500
